Českárepublika,-1.2,-1.8,1.1,6.4,11.3,13.8,15.2,16.3,11.8,9.1,3.6,-1.2,7.0
PrahaaStředočeský,-0.3,-1.1,1.9,6.9,11.9,14.5,15.9,17.0,12.3,9.7,4.2,-0.4,7.7
Jihočeský,-1.4,-2.4,0.5,5.4,10.4,13.5,15.2,15.7,11.4,8.5,3.1,-1.4,6.5
Plzeňský,-1.3,-2.6,0.7,5.4,10.1,13.2,15.0,15.7,11.2,8.6,2.9,-0.9,6.5
Karlovarský,-2.0,-3.1,-0.1,4.8,9.2,12.2,14.1,15.2,10.5,8.1,2.1,-1.5,5.8
Ústecký,-0.7,-1.5,1.5,6.5,11.4,14.0,15.4,16.7,11.9,9.4,3.6,-0.5,7.3
Liberecký,-1.5,-2.0,0.6,5.7,11.1,13.0,14.2,15.8,11.1,9.0,4.1,-1.2,6.6
Královéhradecký,-1.4,-1.5,1.1,6.7,11.7,13.7,14.8,16.5,11.6,9.2,4.1,-1.4,7.1
Pardubický,-1.4,-1.6,1.1,6.7,11.8,13.9,15.0,16.4,11.9,9.2,4.0,-1.4,7.1
Vysočina,-1.9,-2.4,0.6,5.9,11.0,13.4,14.7,15.7,11.4,8.6,3.2,-1.9,6.5
Jihomoravský,-0.9,-0.8,2.6,8.1,12.9,15.1,16.4,17.4,13.2,9.6,4.4,-1.1,8.1
Olomoucký,-1.5,-1.8,1.0,6.8,11.7,13.7,14.8,16.3,12.0,9.2,3.5,-1.7,7.0
Zlínský,-1.0,-1.5,1.5,7.1,12.4,13.9,15.0,16.2,12.6,9.5,4.3,-1.4,7.4
Moravskoslezský,-1.2,-2.2,0.5,6.6,11.6,13.4,14.6,16.1,12.0,9.5,3.3,-1.7,6.9
