Českárepublika,-5.4,3.7,2.2,9.1,12.4,16.2,15.9,15.3,12.4,11.3,1.8,-0.1,7.9
PrahaaStředočeský,-4.8,4.0,3.0,9.7,13.2,17.1,16.6,15.9,13.0,11.7,2.2,0.7,8.5
Jihočeský,-5.4,4.1,1.8,8.6,11.9,15.7,15.4,14.8,12.2,10.8,1.1,-0.4,7.5
Plzeňský,-5.0,3.8,1.9,8.8,12.1,16.1,15.3,14.6,12.1,10.5,0.9,-0.1,7.6
Karlovarský,-5.6,2.9,1.1,7.9,11.3,15.2,14.4,13.7,11.1,9.8,0.1,-0.7,6.7
Ústecký,-5.1,2.9,2.7,9.2,12.7,16.8,16.1,15.4,12.4,11.0,1.6,0.4,8.0
Liberecký,-6.1,2.3,1.7,8.1,11.7,15.9,15.4,14.8,11.3,10.8,1.6,-0.6,7.2
Královéhradecký,-5.8,2.9,1.9,8.7,12.3,16.1,15.8,15.2,11.8,11.3,2.0,-0.4,7.6
Pardubický,-5.9,3.6,2.1,9.1,12.5,16.3,16.0,15.5,12.3,11.5,2.0,-0.5,7.9
Vysočina,-6.1,3.8,1.7,8.6,12.0,15.8,15.7,15.1,12.1,11.2,1.4,-0.9,7.5
Jihomoravský,-5.1,4.5,3.4,10.4,13.6,17.1,17.1,16.7,13.4,12.5,3.0,0.4,8.9
Olomoucký,-5.8,3.3,2.1,9.1,12.3,16.0,16.0,15.5,12.3,11.6,2.3,-0.4,7.9
Zlínský,-5.4,4.4,2.3,9.7,12.5,15.8,16.3,15.8,12.7,12.6,3.1,-0.1,8.3
Moravskoslezský,-5.9,3.1,1.8,8.9,12.0,15.5,15.9,15.3,12.2,11.6,2.3,-0.4,7.7
