Českárepublika,-0.4,-3.7,1.0,8.9,13.0,16.1,18.0,15.8,14.1,9.1,2.0,-1.3,7.7
PrahaaStředočeský,0.7,-2.9,2.1,9.8,13.8,16.8,18.5,16.5,14.9,9.8,2.6,-0.4,8.5
Jihočeský,-0.7,-4.3,0.7,8.3,12.6,15.8,17.4,15.2,13.5,8.6,1.4,-2.0,7.2
Plzeňský,-0.3,-4.0,1.2,8.4,12.6,16.1,17.6,15.2,13.5,8.7,1.7,-1.4,7.4
Karlovarský,-0.9,-4.4,0.6,7.8,11.7,15.2,16.6,14.1,12.8,8.3,1.2,-1.9,6.8
Ústecký,0.5,-3.0,1.8,9.3,12.9,16.1,18.1,15.8,14.1,9.1,2.3,-0.6,8.0
Liberecký,-0.5,-3.5,0.4,8.3,12.2,15.1,17.3,15.1,13.7,9.2,2.0,-1.1,7.4
Královéhradecký,-0.8,-3.6,0.8,8.9,12.8,15.7,17.8,15.7,14.3,9.3,2.0,-1.3,7.6
Pardubický,-0.5,-3.7,0.8,9.1,13.0,15.9,18.0,15.9,14.3,9.2,2.0,-1.3,7.7
Vysočina,-1.0,-4.2,0.6,8.6,12.6,15.5,17.5,15.5,13.8,8.9,1.4,-2.0,7.3
Jihomoravský,-0.1,-2.8,1.8,10.2,14.2,17.3,19.2,17.4,15.3,9.5,2.7,-1.0,8.6
Olomoucký,-1.1,-4.1,0.2,8.8,12.9,15.8,18.1,16.0,14.1,8.8,1.9,-1.7,7.5
Zlínský,-1.1,-3.8,0.1,8.8,13.2,16.1,18.4,16.1,14.1,8.9,2.4,-1.6,7.6
Moravskoslezský,-1.0,-4.2,0.0,8.4,12.9,15.5,18.1,15.7,13.7,8.8,2.0,-1.7,7.4
