Českárepublika,-1.2,-2.0,3.9,10.5,13.3,16.9,16.3,17.9,14.6,7.8,2.5,1.9,8.5
PrahaaStředočeský,-0.5,-1.2,4.7,11.4,14.2,17.7,17.0,18.5,15.2,8.5,3.0,3.0,9.3
Jihočeský,-1.4,-2.2,3.4,9.9,12.8,16.2,15.7,17.5,14.1,7.2,2.1,1.9,8.1
Plzeňský,-1.2,-1.8,3.8,10.2,13.0,16.3,15.5,17.4,14.2,7.6,2.5,2.1,8.3
Karlovarský,-1.7,-2.5,3.1,9.5,12.2,15.4,14.7,16.3,13.2,6.9,2.2,1.1,7.5
Ústecký,-1.0,-1.6,4.2,11.1,13.4,16.9,16.4,17.6,14.6,8.2,3.0,2.5,8.8
Liberecký,-1.6,-2.5,3.1,9.9,12.7,16.2,15.7,16.9,13.6,7.6,2.9,1.6,8.0
Královéhradecký,-1.5,-2.1,3.6,10.5,13.2,16.9,16.4,17.8,14.2,7.8,2.7,1.6,8.4
Pardubický,-1.3,-1.9,3.8,10.5,13.4,17.0,16.5,18.2,14.7,7.9,2.5,1.6,8.6
Vysočina,-1.6,-2.4,3.6,10.1,13.0,16.5,16.0,17.9,14.5,7.4,2.0,1.1,8.2
Jihomoravský,-0.7,-1.3,4.7,11.5,14.3,18.4,18.1,19.5,16.0,8.6,2.4,1.9,9.5
Olomoucký,-1.6,-2.3,3.6,10.2,13.1,17.0,16.5,18.1,14.7,7.9,2.3,1.1,8.4
Zlínský,-1.2,-2.1,3.9,10.2,13.1,17.2,16.8,18.4,15.0,8.0,2.5,1.4,8.6
Moravskoslezský,-1.4,-2.8,3.4,9.7,12.8,16.7,16.2,17.9,14.3,7.8,2.4,1.2,8.2
