Českárepublika,-3.4,1.7,5.1,10.7,10.2,16.2,15.2,15.7,15.0,9.4,2.7,-3.2,7.9
PrahaaStředočeský,-2.8,2.6,6.1,11.5,10.7,16.7,15.9,16.2,15.8,9.8,2.9,-2.4,8.6
Jihočeský,-3.9,1.6,4.7,10.3,9.7,15.6,14.8,15.4,14.8,8.3,2.1,-3.3,7.5
Plzeňský,-3.2,2.3,5.2,10.6,9.6,15.5,14.8,15.3,15.3,8.7,2.2,-3.1,7.8
Karlovarský,-3.4,1.6,4.3,9.6,8.4,14.4,13.4,14.2,14.7,8.4,1.9,-3.3,7.0
Ústecký,-3.4,2.2,5.7,10.9,10.0,16.1,15.2,15.6,15.2,9.4,2.5,-2.7,8.1
Liberecký,-3.7,1.3,4.4,9.9,9.2,15.4,14.1,14.3,14.0,9.0,2.4,-3.4,7.2
Královéhradecký,-3.3,1.3,4.4,10.5,9.9,16.1,14.6,14.9,14.6,9.2,2.7,-3.2,7.6
Pardubický,-3.4,1.3,4.7,10.7,10.2,16.4,15.2,15.6,15.0,9.5,2.8,-3.4,7.9
Vysočina,-3.9,1.1,4.6,10.3,10.0,15.9,14.8,15.4,14.9,8.9,2.4,-3.7,7.5
Jihomoravský,-3.2,2.1,6.1,11.7,11.8,17.6,16.5,17.4,15.9,10.5,3.6,-2.6,8.9
Olomoucký,-3.7,1.0,4.8,10.6,10.6,16.7,15.3,16.0,14.6,9.8,2.8,-3.7,7.9
Zlínský,-3.2,1.1,4.8,10.7,10.8,16.7,15.4,16.3,14.7,10.6,3.5,-3.4,8.2
Moravskoslezský,-3.4,1.0,4.7,10.4,10.3,16.5,15.1,15.8,14.4,9.9,3.0,-3.8,7.8
