Českárepublika,-2.9,-2.9,-0.4,6.7,14.2,14.8,17.9,15.5,13.1,8.8,4.2,-6.3,6.9
PrahaaStředočeský,-2.1,-2.4,0.3,7.3,14.9,15.7,18.9,16.5,13.9,9.2,4.8,-6.3,7.6
Jihočeský,-2.6,-3.1,-0.3,6.2,13.6,14.0,17.3,14.9,12.9,8.2,3.6,-6.0,6.6
Plzeňský,-2.2,-3.3,-0.3,5.9,13.2,14.1,17.6,15.1,12.6,8.0,3.7,-6.6,6.5
Karlovarský,-2.8,-4.3,-1.3,4.8,12.2,13.4,17.1,14.4,11.9,8.1,3.1,-7.3,5.8
Ústecký,-2.3,-3.2,-0.4,6.3,13.9,15.2,18.2,15.8,13.1,8.9,4.4,-6.7,6.9
Liberecký,-3.0,-3.3,-1.1,5.7,13.3,14.5,17.4,15.0,12.3,8.8,3.7,-6.6,6.4
Královéhradecký,-3.3,-2.9,-0.9,6.5,14.0,15.0,18.0,15.6,13.0,9.0,3.8,-6.3,6.8
Pardubický,-3.4,-2.8,-0.6,7.0,14.5,15.0,18.1,15.7,13.3,9.1,4.2,-6.5,6.9
Vysočina,-3.7,-3.4,-1.0,6.4,14.1,14.3,17.5,15.2,12.9,8.9,3.5,-6.3,6.5
Jihomoravský,-3.1,-2.1,0.5,8.6,15.9,16.0,18.9,16.5,14.2,9.8,5.0,-5.1,7.9
Olomoucký,-3.8,-2.5,-1.0,7.1,14.6,14.9,17.8,15.5,13.2,8.8,4.3,-6.3,6.9
Zlínský,-3.5,-1.8,0.0,7.4,14.9,15.0,17.6,15.4,13.1,8.8,5.1,-5.7,7.2
Moravskoslezský,-4.0,-2.6,-1.3,6.6,14.3,14.7,17.4,15.2,12.9,8.6,4.7,-6.9,6.6
