Českárepublika,-0.2,-3.0,1.5,9.0,15.0,15.4,16.1,16.6,12.0,7.7,-0.3,1.5,7.6
PrahaaStředočeský,1.0,-3.1,2.6,10.1,15.8,16.1,16.7,17.3,12.6,8.0,0.4,2.7,8.3
Jihočeský,0.3,-3.8,1.3,8.2,14.3,14.9,15.6,16.1,11.5,7.1,-1.0,1.5,7.2
Plzeňský,0.4,-3.8,1.8,8.8,14.4,15.1,15.6,16.1,11.6,6.8,-0.8,1.9,7.3
Karlovarský,-0.5,-3.6,1.0,8.4,13.7,14.2,14.7,14.9,10.6,5.8,-1.5,1.0,6.6
Ústecký,0.3,-2.6,2.5,9.9,15.2,15.6,16.3,16.3,11.9,7.2,-0.3,2.2,7.9
Liberecký,-0.5,-2.9,1.0,8.7,14.3,14.5,15.1,15.2,11.2,7.2,-0.4,1.1,7.0
Královéhradecký,-0.4,-3.0,1.2,9.2,15.3,15.2,15.7,16.4,12.0,7.8,0.2,1.2,7.6
Pardubický,-0.5,-3.0,1.2,9.0,15.3,15.4,16.0,16.8,12.1,8.0,0.0,1.1,7.6
Vysočina,-0.6,-3.2,0.7,8.2,14.6,14.8,15.6,16.3,11.6,7.5,-0.8,0.6,7.1
Jihomoravský,-0.6,-2.0,2.2,9.9,16.4,16.9,17.7,18.4,13.4,9.1,0.5,1.1,8.6
Olomoucký,-1.3,-2.4,0.8,8.6,15.2,15.4,16.3,16.8,12.1,8.1,-0.4,0.7,7.5
Zlínský,-1.1,-2.5,0.8,8.4,15.1,15.8,16.6,17.0,12.7,9.2,0.3,1.3,7.8
Moravskoslezský,-0.9,-2.1,0.6,8.0,14.7,15.0,16.0,16.3,12.0,8.2,-0.7,1.1,7.3
