Českárepublika,-0.2,-5.2,5.2,8.4,14.4,16.9,18.2,18.2,13.2,7.4,4.8,-1.4,8.3
PrahaaStředočeský,1.1,-4.3,6.2,9.1,15.3,17.6,18.7,19.0,13.8,7.7,5.1,-0.4,9.1
Jihočeský,-0.2,-5.5,5.0,7.6,13.5,16.4,17.2,17.4,12.5,6.9,3.9,-1.0,7.8
Plzeňský,0.3,-4.9,5.5,7.9,14.1,16.5,17.2,17.9,12.7,6.9,3.8,-0.6,8.1
Karlovarský,-0.7,-5.7,4.4,6.5,12.8,14.9,16.0,16.6,11.4,5.7,3.0,-1.6,6.9
Ústecký,0.8,-4.1,5.7,8.4,14.6,16.5,17.9,18.2,13.1,7.2,4.3,-1.2,8.5
Liberecký,-0.9,-5.6,4.2,7.6,14.0,15.6,17.5,17.0,12.3,6.8,4.6,-1.8,7.6
Královéhradecký,-0.7,-5.6,4.6,8.1,14.4,16.5,18.0,17.8,12.7,7.1,5.1,-1.8,8.1
Pardubický,-0.5,-5.6,4.9,8.5,14.7,17.1,18.4,18.3,13.3,7.5,5.3,-1.9,8.3
Vysočina,-0.8,-5.9,4.8,8.0,14.1,16.8,17.9,18.1,13.1,7.2,4.6,-1.9,8.0
Jihomoravský,0.4,-4.3,6.0,9.9,15.9,18.7,20.0,19.8,15.0,8.7,5.9,-1.7,9.5
Olomoucký,-1.1,-5.9,4.7,8.6,14.4,17.1,18.8,18.5,13.6,7.7,5.5,-2.5,8.3
Zlínský,-0.9,-5.8,4.6,9.2,14.6,17.6,19.4,18.7,14.4,8.3,6.3,-2.0,8.7
Moravskoslezský,-1.6,-6.6,4.1,8.6,14.1,16.8,18.8,18.1,13.4,7.9,5.7,-2.1,8.1
