Českárepublika,-8.9,-6.9,0.6,8.1,12.0,16.0,18.0,16.5,13.8,7.4,6.4,-5.6,6.5
PrahaaStředočeský,-8.1,-6.4,1.6,8.9,12.6,16.7,18.8,17.2,14.4,8.0,6.9,-5.3,7.1
Jihočeský,-8.8,-7.6,0.6,7.6,11.1,15.6,17.4,15.9,13.3,7.0,5.9,-5.7,6.0
Plzeňský,-8.8,-7.2,1.1,7.8,11.4,15.3,17.4,15.7,13.2,7.0,5.9,-5.7,6.1
Karlovarský,-9.4,-7.5,0.4,6.7,10.5,14.2,16.1,14.6,12.3,6.4,5.4,-6.0,5.3
Ústecký,-8.5,-6.6,1.2,8.2,12.1,16.1,18.0,16.4,13.7,7.5,6.3,-5.5,6.6
Liberecký,-9.0,-6.6,0.2,7.3,11.3,15.5,17.4,15.7,13.0,7.0,6.2,-5.4,6.0
Královéhradecký,-8.7,-6.4,0.2,7.8,12.1,16.0,18.1,16.4,13.8,7.3,6.4,-5.7,6.4
Pardubický,-8.9,-6.5,0.3,8.1,12.2,16.1,18.2,16.6,14.1,7.4,6.4,-5.8,6.5
Vysočina,-9.1,-7.3,0.0,7.7,11.6,15.7,17.9,16.3,13.6,7.1,5.8,-6.3,6.1
Jihomoravský,-8.3,-6.3,0.7,9.5,13.6,17.3,19.5,18.1,15.0,8.2,6.9,-5.2,7.4
Olomoucký,-9.6,-6.8,-0.2,8.0,12.5,16.1,18.1,16.8,14.0,7.2,6.5,-5.5,6.4
Zlínský,-9.6,-6.8,-0.1,8.5,12.6,16.3,18.2,17.4,14.3,7.4,7.4,-5.2,6.7
Moravskoslezský,-10.6,-7.7,-0.6,7.4,12.0,15.7,17.8,16.8,13.8,7.2,6.8,-5.3,6.1
