Českárepublika,0.6,2.8,3.1,6.4,14.3,18.7,18.6,19.1,12.0,10.7,4.1,0.3,9.2
PrahaaStředočeský,1.6,3.9,4.0,7.1,15.1,19.5,19.2,19.7,12.7,11.1,4.5,1.1,10.0
Jihočeský,0.4,2.4,2.4,5.8,13.7,18.0,18.0,18.0,11.4,10.5,3.8,0.1,8.7
Plzeňský,0.7,2.6,3.0,6.2,14.2,18.6,18.7,18.7,11.6,10.7,3.9,0.4,9.1
Karlovarský,0.1,1.6,2.2,5.1,13.3,17.8,17.6,18.0,10.8,9.9,3.5,-0.4,8.3
Ústecký,1.5,3.3,3.7,6.6,14.7,19.0,18.8,19.6,12.4,10.4,3.9,0.5,9.6
Liberecký,0.2,2.3,2.7,5.4,13.3,17.9,17.4,18.4,11.2,10.1,3.6,0.1,8.6
Královéhradecký,0.1,2.6,3.0,6.1,13.9,18.5,18.2,19.4,11.8,10.5,3.8,0.2,9.0
Pardubický,0.4,2.9,3.1,6.4,14.1,18.7,18.4,19.3,11.9,10.8,4.2,0.1,9.2
Vysočina,0.0,2.3,3.1,6.0,13.9,18.4,18.2,18.9,11.6,10.4,4.0,-0.3,8.9
Jihomoravský,1.1,3.7,3.8,7.9,15.6,20.0,20.3,20.7,13.2,11.2,5.0,0.6,10.2
Olomoucký,-0.1,2.5,2.8,6.3,14.0,18.4,18.6,19.3,11.9,10.5,4.0,-0.3,8.9
Zlínský,0.0,2.8,2.8,6.6,14.3,18.9,19.1,19.7,12.3,10.9,4.8,0.5,9.4
Moravskoslezský,0.0,2.5,2.4,5.8,13.6,18.2,18.3,18.7,11.6,10.7,4.1,-0.1,8.8
