Českárepublika,1.8,-3.5,0.8,12.7,16.2,17.5,19.7,20.6,14.5,10.0,4.3,1.2,9.6
PrahaaStředočeský,2.9,-2.6,1.5,13.3,16.9,18.2,20.8,21.5,15.3,10.5,4.6,2.4,10.4
Jihočeský,1.8,-4.0,0.6,12.1,15.3,16.8,18.6,19.4,13.6,9.2,3.4,1.3,9.1
Plzeňský,2.2,-3.6,0.9,12.0,15.6,17.0,19.4,19.8,13.8,9.1,3.4,1.8,9.3
Karlovarský,1.2,-4.6,-0.2,10.8,14.5,15.9,18.5,18.6,12.9,8.3,2.9,1.1,8.3
Ústecký,2.3,-3.3,0.7,12.5,16.2,17.5,20.2,20.4,14.5,9.8,3.9,1.9,9.7
Liberecký,1.4,-3.8,0.0,11.6,15.8,16.7,18.9,19.6,13.4,9.6,4.3,0.9,9.0
Královéhradecký,1.4,-3.3,0.5,12.7,16.7,17.6,19.6,20.9,14.8,10.0,4.8,1.0,9.7
Pardubický,1.6,-3.7,0.7,13.0,16.4,17.6,19.8,21.2,15.0,10.2,4.5,0.9,9.8
Vysočina,1.2,-4.2,0.4,12.6,16.1,17.1,19.4,20.6,14.3,9.9,4.0,0.4,9.3
Jihomoravský,1.9,-2.6,1.9,14.4,17.6,19.2,21.0,22.6,15.9,11.4,5.3,1.2,10.8
Olomoucký,1.2,-3.9,0.4,13.0,16.2,17.4,19.3,20.8,14.7,10.1,4.5,0.5,9.5
Zlínský,1.7,-3.2,1.3,13.7,16.5,18.1,19.6,20.9,14.7,10.9,5.5,0.7,10.0
Moravskoslezský,1.1,-4.4,0.2,13.0,15.6,16.8,18.8,19.9,14.4,10.0,4.6,0.5,9.2
