Českárepublika,-0.4,-4.6,4.8,6.3,8.9,14.3,18.7,17.1,13.9,6.8,2.5,-2.3,7.2
PrahaaStředočeský,0.5,-3.8,5.6,7.2,9.6,15.0,19.3,17.9,14.6,7.5,2.8,-1.5,7.9
Jihočeský,-0.6,-4.8,4.4,5.6,8.2,13.7,17.9,16.6,13.3,6.1,1.6,-3.0,6.6
Plzeňský,-0.2,-4.7,4.5,6.0,8.6,13.6,18.4,17.0,13.4,6.4,2.1,-1.9,6.9
Karlovarský,-0.8,-5.1,3.8,5.0,7.6,12.3,17.7,16.0,12.7,5.8,1.5,-2.0,6.2
Ústecký,0.1,-4.2,5.0,6.8,9.2,14.2,19.2,17.4,14.1,7.2,2.4,-1.2,7.5
Liberecký,-0.5,-4.6,4.6,5.9,8.1,13.2,18.2,16.4,13.2,6.6,2.2,-2.2,6.8
Královéhradecký,-0.4,-4.5,4.9,6.5,8.8,14.0,18.7,16.9,13.9,6.9,2.5,-2.4,7.1
Pardubický,-0.6,-4.6,4.8,6.3,8.8,14.5,18.7,16.9,14.1,6.8,2.6,-2.6,7.1
Vysočina,-1.0,-5.0,4.2,5.5,8.1,13.9,18.1,16.5,13.6,6.5,1.9,-2.8,6.6
Jihomoravský,-0.5,-4.2,5.6,7.4,10.1,16.0,20.2,18.3,15.3,7.7,3.5,-1.9,8.1
Olomoucký,-1.0,-4.9,4.6,6.4,9.1,14.7,18.8,16.9,14.0,6.7,2.7,-2.8,7.1
Zlínský,-1.0,-4.5,5.3,6.3,9.3,15.3,18.9,16.8,14.2,6.8,3.7,-3.3,7.3
Moravskoslezský,-1.0,-5.0,4.7,6.1,8.8,14.5,18.4,16.6,13.7,6.5,2.9,-3.0,6.9
