Českárepublika,-1.1,-0.8,2.6,5.4,10.6,18.8,18.8,16.0,14.2,8.0,3.6,0.4,8.0
PrahaaStředočeský,-0.3,-0.3,3.5,6.1,11.1,19.5,19.0,16.7,15.1,8.5,4.2,1.5,8.7
Jihočeský,-1.5,-0.1,2.1,4.9,9.8,18.1,17.8,15.4,13.4,7.2,2.7,0.6,7.6
Plzeňský,-1.2,-0.3,2.8,5.2,9.7,18.6,17.7,15.5,13.9,7.1,2.9,0.8,7.7
Karlovarský,-1.9,-1.8,2.1,4.0,8.8,17.7,16.5,14.3,13.1,6.3,2.5,0.1,6.8
Ústecký,-0.8,-1.3,3.4,5.5,10.5,19.1,18.5,16.0,14.6,7.9,3.9,1.0,8.2
Liberecký,-1.6,-1.5,1.8,4.4,9.8,18.3,17.9,15.1,13.6,7.9,3.7,-0.1,7.4
Královéhradecký,-1.4,-1.6,2.0,5.2,10.4,18.8,18.7,15.9,14.3,8.3,3.9,-0.4,7.8
Pardubický,-1.2,-1.2,2.4,5.2,10.7,18.9,18.9,16.1,14.3,8.4,3.8,0.0,8.0
Vysočina,-1.6,-0.8,2.1,4.9,10.1,18.5,18.4,15.7,13.9,7.8,3.1,0.1,7.7
Jihomoravský,-0.1,-0.3,3.5,7.0,12.3,20.1,20.7,17.6,15.2,9.1,4.4,0.8,9.2
Olomoucký,-1.5,-1.5,2.3,5.4,11.0,18.9,19.5,16.2,14.0,8.2,3.8,-0.5,8.0
Zlínský,-0.9,-0.8,2.3,5.8,11.4,19.1,20.2,16.5,13.8,8.6,4.2,-0.1,8.3
Moravskoslezský,-1.5,-1.2,2.3,5.1,11.0,18.4,19.5,16.1,13.5,8.5,4.0,-0.5,7.9
