Českárepublika,-5.9,-2.3,-1.2,8.3,12.8,17.5,17.8,15.1,12.6,6.7,3.7,-1.7,6.9
PrahaaStředočeský,-5.6,-1.7,-0.5,9.1,13.8,18.2,18.9,15.8,13.3,7.1,4.2,-0.9,7.6
Jihočeský,-5.8,-2.4,-1.4,7.9,12.2,16.6,17.3,14.6,12.1,6.0,3.8,-2.0,6.6
Plzeňský,-5.6,-2.3,-1.2,8.0,12.6,17.0,17.8,14.9,12.4,6.1,3.6,-1.9,6.8
Karlovarský,-5.7,-3.2,-2.0,6.7,11.8,16.4,16.8,14.0,11.7,5.4,2.7,-2.4,6.0
Ústecký,-5.6,-2.2,-1.1,8.4,13.4,17.9,18.4,15.4,12.9,6.5,3.6,-1.3,7.2
Liberecký,-5.6,-2.6,-1.6,7.5,12.3,17.0,17.3,14.2,11.9,6.2,3.0,-1.7,6.5
Královéhradecký,-6.1,-2.5,-1.4,8.2,12.7,17.4,17.6,14.6,12.3,6.7,3.3,-1.5,6.8
Pardubický,-6.2,-2.4,-1.2,8.5,12.8,17.7,17.9,15.0,12.5,6.9,3.5,-1.8,6.9
Vysočina,-6.5,-3.1,-1.7,8.1,12.1,17.0,17.4,14.6,12.2,6.5,3.3,-2.5,6.5
Jihomoravský,-6.2,-1.3,-0.1,9.7,13.6,18.8,18.8,16.4,13.8,8.0,4.6,-1.4,7.9
Olomoucký,-6.4,-2.5,-1.5,8.2,12.6,17.7,17.5,15.0,12.4,7.1,3.4,-2.0,6.8
Zlínský,-6.6,-2.0,-0.8,8.5,12.5,18.1,17.4,15.2,12.7,7.8,3.9,-1.2,7.1
Moravskoslezský,-5.8,-2.8,-2.1,7.6,12.2,17.3,16.9,14.7,12.1,7.0,3.3,-1.7,6.6
