PrahaaStředočeský,-3.5,-0.7,6.6,7.3,13.6,16.8,16.7,17.0,13.9,8.5,4.0,-2.8,8.1
Jihočeský,-4.5,-1.9,5.5,6.4,12.1,15.5,15.6,15.9,12.7,7.5,3.0,-3.5,7.0
Plzeňský,-4.4,-2.0,5.6,6.3,12.0,15.3,15.5,15.7,12.9,7.3,3.0,-4.0,7.0
Karlovarský,-4.6,-2.9,4.8,5.7,11.2,14.4,14.6,14.9,12.4,6.4,2.1,-4.9,6.2
Ústecký,-3.4,-0.9,6.2,6.8,13.1,16.1,16.3,16.4,13.4,7.8,3.5,-3.6,7.7
Liberecký,-4.0,-1.8,5.1,5.8,12.7,15.4,15.5,15.4,12.8,7.3,2.4,-3.6,6.9
Královéhradecký,-4.4,-1.7,5.5,6.4,13.2,16.2,16.0,16.1,13.3,7.8,2.6,-3.3,7.3
Pardubický,-4.3,-1.5,5.7,6.5,13.2,16.3,16.2,16.4,13.5,8.2,2.8,-3.1,7.5
Vysočina,-4.5,-1.7,5.3,6.2,12.5,15.8,15.8,16.0,12.9,7.6,2.4,-3.6,7.1
Jihomoravský,-3.6,-0.4,6.8,8.0,14.1,17.7,17.6,18.0,14.6,9.2,3.5,-2.1,8.6
Olomoucký,-4.4,-1.9,5.4,6.3,12.9,16.1,16.2,16.3,13.4,8.3,2.5,-3.2,7.3
Zlínský,-4.6,-1.8,5.9,6.4,13.1,16.4,16.5,16.1,13.8,9.1,2.5,-2.3,7.6
Moravskoslezský,-4.2,-2.2,5.3,5.7,12.9,15.9,16.1,16.0,13.1,8.4,2.3,-3.2,7.2
