Českárepublika,-1.7,1.7,5.6,9.4,10.7,20.7,18.8,18.9,13.3,9.5,5.6,1.9,9.5
PrahaaStředočeský,-0.5,2.3,6.5,10.0,11.4,21.5,19.8,19.5,14.1,9.8,5.8,2.7,10.2
Jihočeský,-1.9,1.0,5.1,8.6,9.9,20.0,18.6,18.3,12.8,8.9,4.3,1.5,8.9
Plzeňský,-1.4,1.6,5.3,8.9,10.2,20.3,18.9,18.0,12.9,9.1,4.2,1.8,9.2
Karlovarský,-2.2,0.9,4.2,8.0,9.2,19.4,17.8,17.2,12.0,8.4,3.7,1.3,8.3
Ústecký,-0.9,2.1,5.9,9.4,10.8,20.9,19.1,18.8,13.3,9.5,5.0,2.2,9.7
Liberecký,-2.2,1.2,4.8,8.8,10.1,20.2,17.9,18.1,12.4,9.1,5.6,1.8,9.0
Královéhradecký,-2.1,1.3,5.3,9.6,10.8,20.9,18.7,18.7,13.1,9.4,6.1,1.8,9.5
Pardubický,-2.2,1.5,5.7,9.5,10.9,20.7,18.6,19.1,13.4,9.6,6.2,1.9,9.6
Vysočina,-2.4,1.3,5.1,9.0,10.2,20.3,18.3,18.9,13.0,9.1,5.2,1.2,9.1
Jihomoravský,-1.2,2.4,6.6,10.9,11.9,22.0,20.1,20.7,14.7,10.4,7.0,2.0,10.6
Olomoucký,-2.6,1.6,5.5,9.5,10.9,20.5,18.4,19.2,13.3,9.6,6.6,1.7,9.5
Zlínský,-2.5,1.6,5.7,10.2,11.0,21.0,18.7,19.6,13.5,10.3,7.4,2.2,9.9
Moravskoslezský,-2.6,2.1,5.3,9.1,10.6,20.6,18.1,19.0,13.1,10.0,6.8,2.3,9.5
