Českárepublika,-4.7,-4.8,-1.0,7.5,12.5,16.0,15.6,16.4,9.7,8.8,4.3,-5.1,6.3
PrahaaStředočeský,-4.1,-3.8,-0.1,8.5,12.7,16.5,16.1,17.0,10.5,9.4,4.7,-4.8,6.9
Jihočeský,-4.9,-4.9,-1.4,6.7,12.0,15.7,15.1,15.6,9.5,8.2,3.5,-5.3,5.8
Plzeňský,-4.6,-4.3,-1.0,7.1,11.5,15.6,15.0,15.6,9.6,8.1,3.3,-5.1,5.9
Karlovarský,-5.4,-5.1,-1.7,6.6,10.4,14.5,14.0,15.0,8.7,7.5,2.5,-5.4,5.1
Ústecký,-4.4,-4.1,-0.4,8.2,11.7,15.7,15.6,16.6,9.9,8.8,4.0,-4.9,6.4
Liberecký,-4.7,-4.8,-1.4,6.8,11.2,15.0,14.7,16.1,9.1,8.7,4.0,-5.5,5.8
Královéhradecký,-4.4,-4.8,-0.9,7.5,12.7,16.1,15.5,16.7,9.7,9.1,4.5,-5.0,6.4
Pardubický,-4.7,-5.1,-1.0,7.6,13.0,16.2,15.8,16.7,9.7,9.1,4.7,-5.2,6.4
Vysočina,-5.1,-5.6,-1.6,7.0,12.5,15.6,15.1,16.0,9.2,8.4,4.0,-5.5,5.8
Jihomoravský,-4.3,-4.7,-0.1,8.9,14.6,17.4,17.0,17.7,10.8,9.8,5.4,-4.4,7.3
Olomoucký,-5.1,-5.5,-1.6,7.4,13.3,16.1,15.8,16.7,9.6,9.0,4.8,-5.2,6.3
Zlínský,-4.6,-5.1,-1.1,7.6,13.9,16.5,16.0,16.9,9.8,9.2,5.6,-4.7,6.7
Moravskoslezský,-5.1,-5.4,-2.2,6.8,12.9,16.0,15.7,16.5,9.2,8.8,5.0,-5.5,6.1
