Českárepublika,2.0,-1.1,3.2,6.4,12.6,14.6,17.6,17.4,15.5,7.1,1.3,-0.6,8.0
PrahaaStředočeský,2.7,-0.7,3.7,7.2,12.9,15.2,18.4,18.5,16.3,7.3,1.8,0.3,8.6
Jihočeský,1.6,-1.2,2.5,5.8,12.0,13.7,16.9,16.6,14.9,6.6,0.9,-1.6,7.4
Plzeňský,1.7,-1.1,2.3,5.9,11.8,13.8,17.0,17.1,14.6,6.4,0.9,-1.1,7.5
Karlovarský,1.4,-1.1,1.8,5.0,10.9,13.2,16.4,16.8,14.1,6.0,0.2,-0.9,7.0
Ústecký,2.6,-0.7,3.1,6.5,12.1,14.9,18.1,18.5,15.7,7.0,1.4,0.6,8.3
Liberecký,1.9,-1.3,2.8,5.6,11.5,14.2,17.0,17.3,15.1,6.7,1.0,-0.2,7.6
Královéhradecký,1.7,-1.6,3.0,6.4,12.7,14.8,17.5,17.7,15.6,6.9,1.2,-0.5,8.0
Pardubický,1.9,-1.7,3.3,6.7,13.0,14.8,17.6,17.4,15.8,7.1,1.1,-0.6,8.0
Vysočina,1.3,-1.4,3.1,6.1,12.5,14.3,17.2,16.9,15.4,7.0,0.4,-1.5,7.6
Jihomoravský,2.1,-0.5,4.7,8.0,14.5,16.2,18.9,18.3,16.7,8.3,2.0,-0.2,9.1
Olomoucký,1.8,-1.5,3.4,6.5,13.2,14.8,17.4,17.2,15.6,7.5,1.4,-0.6,8.1
Zlínský,2.2,-1.3,4.3,6.8,13.6,15.0,17.4,16.8,15.8,7.7,2.1,-0.5,8.3
Moravskoslezský,2.0,-1.8,3.5,6.2,12.8,14.6,17.2,16.7,15.4,7.4,1.5,-0.6,7.9
