Českárepublika,-1.1,-1.2,-0.5,6.8,12.4,16.2,18.4,14.6,11.7,9.0,4.1,-2.4,7.3
PrahaaStředočeský,0.0,-0.4,0.2,7.6,13.3,17.2,19.4,15.8,12.5,9.6,4.7,-1.9,8.1
Jihočeský,-0.8,-1.4,-0.8,6.1,12.0,16.1,17.9,13.5,11.0,8.4,3.4,-3.3,6.8
Plzeňský,-0.5,-1.3,-0.7,6.0,12.1,16.4,18.3,14.0,11.1,8.1,3.3,-3.2,7.0
Karlovarský,-1.4,-1.9,-1.5,5.1,11.3,15.6,17.7,13.8,10.7,7.4,2.7,-3.7,6.3
Ústecký,-0.4,-0.8,-0.2,6.7,12.7,16.8,19.1,15.5,12.0,8.9,4.2,-2.2,7.7
Liberecký,-1.9,-1.1,-1.3,5.5,11.5,15.3,17.8,14.4,11.4,9.0,4.0,-2.8,6.8
Královéhradecký,-1.8,-1.2,-0.9,6.6,12.2,15.8,18.0,14.9,11.7,9.3,4.2,-2.5,7.2
Pardubický,-1.5,-1.2,-0.7,6.9,12.4,15.9,18.2,14.8,11.7,9.4,4.3,-2.3,7.3
Vysočina,-1.7,-1.7,-1.0,6.6,12.1,16.0,18.0,14.1,11.2,8.6,3.6,-3.1,6.9
Jihomoravský,-0.4,-0.9,0.8,8.7,13.7,17.5,19.6,15.9,12.8,9.9,5.3,-1.2,8.5
Olomoucký,-2.0,-1.6,-0.7,7.0,12.2,15.5,17.8,14.3,11.6,9.2,4.4,-1.9,7.1
Zlínský,-2.0,-1.3,-0.4,7.5,12.4,15.4,17.8,14.2,12.1,10.1,5.1,-1.1,7.5
Moravskoslezský,-2.4,-2.1,-1.1,6.4,11.8,14.7,17.2,13.8,11.5,9.1,4.3,-1.8,6.8
