Českárepublika,-3.9,0.4,2.4,8.7,11.3,15.3,17.1,18.1,12.8,9.2,3.2,-0.7,7.8
PrahaaStředočeský,-3.2,1.7,3.5,9.5,12.1,16.0,17.9,19.0,13.7,9.5,3.9,-0.1,8.6
Jihočeský,-3.8,0.4,1.4,7.7,10.6,14.6,16.5,17.5,12.2,8.5,2.7,-1.5,7.2
Plzeňský,-3.0,0.9,2.1,8.1,10.8,14.8,16.6,17.4,12.3,8.4,2.7,-1.2,7.5
Karlovarský,-3.9,0.0,1.5,7.5,9.7,13.9,15.7,16.6,11.6,7.7,2.2,-1.9,6.6
Ústecký,-3.5,1.5,3.2,9.2,11.3,15.5,17.2,18.3,13.0,8.7,3.6,-0.3,8.1
Liberecký,-4.2,-0.1,2.4,8.3,10.7,14.7,16.5,17.5,12.2,8.7,3.0,-0.7,7.4
Královéhradecký,-4.6,-0.2,2.6,8.6,11.1,15.1,17.0,18.1,12.6,9.1,3.1,-0.7,7.7
Pardubický,-4.4,0.0,2.5,8.8,11.3,15.3,17.1,18.2,12.9,9.4,3.3,-0.7,7.8
Vysočina,-4.5,-0.2,1.6,8.3,10.8,14.9,16.7,17.8,12.4,8.9,3.0,-1.4,7.3
Jihomoravský,-3.6,0.8,3.2,10.2,12.7,16.6,18.5,19.4,13.9,10.4,4.2,-0.1,8.8
Olomoucký,-4.8,-0.7,2.2,8.7,11.4,15.2,17.0,17.9,12.6,9.7,3.2,-0.7,7.6
Zlínský,-4.3,-0.5,2.4,9.1,11.7,15.6,17.4,18.0,12.7,10.3,3.7,-0.2,8.0
Moravskoslezský,-4.6,-0.7,2.1,8.4,11.3,15.2,16.9,17.7,12.4,9.8,3.2,-0.2,7.6
