Českárepublika,2.2,-3.5,3.5,9.0,12.9,15.9,20.0,17.5,13.1,8.0,1.1,-1.5,8.2
PrahaaStředočeský,3.1,-3.0,4.1,9.5,13.1,16.6,21.0,18.1,13.7,9.0,1.9,-1.0,8.8
Jihočeský,2.1,-4.0,3.1,8.4,11.9,15.3,19.7,16.8,12.6,7.5,0.7,-1.9,7.7
Plzeňský,2.1,-4.0,3.0,8.1,11.5,15.5,20.0,16.7,12.6,7.6,0.8,-2.0,7.7
Karlovarský,1.2,-4.4,2.2,7.1,10.5,14.9,19.3,16.1,11.8,7.0,0.5,-2.4,7.0
Ústecký,2.8,-3.2,3.8,8.9,12.5,16.3,20.5,17.5,13.2,8.5,1.8,-1.2,8.4
Liberecký,1.8,-3.7,3.1,8.3,12.2,15.6,19.2,16.8,12.4,7.8,1.4,-1.4,7.8
Královéhradecký,1.7,-3.5,3.3,8.9,12.9,16.0,20.0,17.7,12.9,7.9,1.2,-1.5,8.1
Pardubický,2.0,-3.6,3.4,9.2,13.3,15.9,19.9,17.7,13.2,8.0,1.0,-1.5,8.2
Vysočina,1.7,-4.1,2.8,8.5,12.5,15.4,19.8,17.4,12.9,7.6,0.6,-2.0,7.8
Jihomoravský,2.9,-2.5,4.7,10.5,14.7,17.0,21.4,19.3,14.4,8.6,1.4,-1.1,9.3
Olomoucký,1.8,-3.2,3.6,9.5,13.8,15.7,19.7,17.6,13.3,7.9,0.8,-1.5,8.2
Zlínský,1.9,-2.9,4.1,10.0,14.5,15.9,19.2,17.5,13.6,7.9,1.0,-0.9,8.5
Moravskoslezský,1.7,-3.4,3.5,9.1,13.9,15.4,18.8,17.0,13.3,8.1,1.1,-0.9,8.1
