Českárepublika,-5.4,-2.4,3.4,5.1,12.8,16.2,18.2,17.2,15.4,8.8,3.8,0.7,7.8
PrahaaStředočeský,-5.4,-1.6,4.2,5.9,13.5,17.1,19.1,18.0,16.0,9.3,4.2,1.6,8.5
Jihočeský,-5.4,-2.8,2.7,4.4,12.4,15.8,17.6,16.5,14.6,8.1,3.3,1.0,7.4
Plzeňský,-5.5,-2.5,3.0,4.6,12.2,16.0,18.1,16.6,14.8,8.1,3.5,1.0,7.5
Karlovarský,-5.8,-3.0,2.3,4.2,11.3,15.1,17.4,15.7,14.3,7.7,3.2,0.1,6.8
Ústecký,-5.1,-2.0,4.0,5.6,12.8,16.4,18.8,17.6,15.5,8.9,3.7,1.1,8.2
Liberecký,-5.0,-2.4,3.1,4.4,12.0,15.4,17.9,16.7,14.6,8.8,3.8,0.4,7.5
Královéhradecký,-5.4,-2.3,3.4,4.9,12.7,16.0,18.4,17.2,15.4,9.2,3.8,0.4,7.8
Pardubický,-5.5,-2.5,3.5,5.0,12.9,16.3,18.4,17.5,15.7,9.2,3.8,0.4,7.9
Vysočina,-5.9,-3.0,2.9,4.5,12.4,15.8,17.7,16.7,15.2,8.4,3.0,0.1,7.3
Jihomoravský,-5.4,-1.9,4.3,6.6,14.1,17.4,19.2,18.6,16.8,9.6,4.2,1.0,8.7
Olomoucký,-5.4,-2.6,3.2,4.9,12.8,15.9,17.9,17.3,15.6,9.0,3.9,0.0,7.7
Zlínský,-5.5,-2.6,3.3,5.0,13.1,16.1,17.7,17.3,15.5,9.2,4.5,0.6,7.8
Moravskoslezský,-4.7,-2.6,3.0,4.5,12.5,15.6,17.4,17.1,15.1,9.0,4.3,0.2,7.6
