Českárepublika,-0.4,3.4,6.0,6.5,13.3,15.4,16.5,17.9,10.8,8.5,3.5,-1.3,8.4
PrahaaStředočeský,0.6,4.4,7.0,7.3,14.3,16.3,17.6,18.9,11.6,9.0,4.1,-0.4,9.2
Jihočeský,-0.9,2.8,5.5,5.7,12.5,14.8,16.0,17.3,10.4,7.8,2.9,-2.0,7.8
Plzeňský,-0.5,3.2,5.7,5.9,13.0,15.0,16.3,17.8,10.6,7.7,2.9,-1.7,8.0
Karlovarský,-0.8,2.7,4.8,5.2,12.3,14.0,15.1,16.9,9.6,7.1,2.3,-2.3,7.3
Ústecký,0.4,3.8,6.6,7.1,14.0,15.8,16.7,18.3,11.2,8.4,3.7,-0.6,8.8
Liberecký,0.1,3.5,5.7,6.3,13.0,14.9,15.7,17.1,10.2,8.6,3.3,-1.2,8.1
Královéhradecký,-0.2,3.3,6.0,6.6,13.4,15.4,16.4,17.8,10.5,8.7,3.5,-1.1,8.4
Pardubický,-0.4,3.3,6.0,6.5,13.2,15.4,16.5,17.9,10.7,8.8,3.6,-1.1,8.4
Vysočina,-1.1,2.6,5.5,5.7,12.7,14.8,16.0,17.6,10.1,8.1,3.1,-2.0,7.8
Jihomoravský,-0.6,3.6,7.0,7.7,14.4,16.6,17.7,19.2,11.8,9.3,4.5,-0.8,9.2
Olomoucký,-0.7,3.2,5.9,6.6,13.1,15.3,16.4,17.6,10.6,8.5,3.6,-1.3,8.2
Zlínský,-0.6,3.4,5.8,7.0,13.2,15.5,16.4,17.6,10.7,8.9,4.3,-1.0,8.4
Moravskoslezský,-0.2,3.8,5.7,6.5,12.7,15.2,16.2,17.1,10.5,8.7,3.8,-1.3,8.2
