Českárepublika,1.6,-1.3,5.4,7.5,12.4,16.3,21.0,18.1,13.7,6.1,5.0,0.9,8.9
PrahaaStředočeský,2.4,-0.7,6.2,8.1,13.0,17.0,21.9,18.6,14.1,6.5,6.1,1.8,9.6
Jihočeský,1.2,-1.3,5.6,6.6,11.9,15.9,20.3,17.7,13.3,5.5,5.3,0.7,8.5
Plzeňský,1.3,-1.4,5.5,6.6,11.9,16.0,20.6,17.5,12.8,5.7,5.5,1.2,8.6
Karlovarský,0.6,-2.4,4.2,6.0,11.0,14.9,19.8,16.3,11.7,5.2,4.6,0.7,7.7
Ústecký,2.0,-1.5,5.6,7.7,12.4,16.3,21.3,17.8,13.4,6.3,5.6,1.5,9.0
Liberecký,1.3,-1.9,4.2,6.7,11.5,15.1,20.6,16.8,12.8,5.8,4.8,1.0,8.2
Královéhradecký,1.4,-1.4,4.6,7.7,12.4,16.2,21.4,17.9,13.4,5.9,4.6,0.7,8.7
Pardubický,1.6,-1.2,5.1,7.8,12.6,16.4,21.2,18.1,13.8,6.0,4.6,0.5,8.9
Vysočina,1.1,-1.6,4.8,7.0,11.9,15.8,20.7,17.9,13.6,5.6,4.5,0.1,8.5
Jihomoravský,2.1,-0.5,6.4,9.1,13.8,17.7,22.2,19.9,15.7,7.1,5.1,0.7,9.9
Olomoucký,1.4,-1.6,5.0,8.0,12.5,16.2,20.8,18.3,14.2,6.1,3.9,0.1,8.7
Zlínský,1.8,-0.7,5.3,8.4,12.7,16.4,20.5,18.5,14.8,6.6,4.1,0.5,9.0
Moravskoslezský,1.6,-1.9,4.8,7.7,12.1,15.8,20.4,17.8,14.0,6.2,3.6,0.4,8.5
