Českárepublika,-1.8,-0.2,3.1,4.9,12.3,15.3,16.6,17.1,13.7,6.0,1.1,-1.5,7.2
PrahaaStředočeský,-1.4,0.7,4.0,5.5,13.1,16.1,17.3,17.9,14.6,6.7,1.9,-1.0,8.0
Jihočeský,-2.4,-0.8,2.2,4.2,11.9,14.9,16.0,16.7,13.1,5.4,0.9,-2.3,6.6
Plzeňský,-2.3,-0.7,2.3,4.1,11.8,15.1,16.0,16.7,13.3,5.5,1.0,-2.3,6.7
Karlovarský,-2.6,-1.3,1.7,3.2,10.9,14.3,15.4,15.9,12.7,5.1,0.5,-2.8,6.2
Ústecký,-1.5,0.6,3.5,4.9,12.5,15.7,17.1,17.4,14.2,6.3,1.7,-1.1,7.6
Liberecký,-1.6,-0.3,2.6,3.8,11.5,14.9,15.9,16.1,12.8,5.7,0.8,-1.8,6.7
Královéhradecký,-1.8,-0.3,3.2,4.6,12.2,15.3,16.4,17.0,13.7,6.1,0.8,-1.7,7.1
Pardubický,-2.0,-0.2,3.3,5.0,12.4,15.3,16.7,17.3,13.8,6.0,0.9,-1.5,7.2
Vysočina,-2.6,-0.8,2.7,4.5,12.1,14.9,16.2,17.1,13.3,5.6,0.4,-2.1,6.8
Jihomoravský,-1.3,0.7,4.4,6.7,13.9,16.5,18.2,18.7,14.7,6.8,1.4,-0.6,8.3
Olomoucký,-1.7,-0.2,3.1,5.4,12.2,15.0,16.7,17.1,13.6,6.0,0.6,-1.3,7.2
Zlínský,-1.1,0.1,3.2,5.9,12.6,15.3,16.8,16.9,13.6,6.3,1.0,-0.7,7.5
Moravskoslezský,-1.8,-0.4,2.6,5.2,11.9,14.5,16.3,16.5,13.1,6.1,0.8,-1.0,7.0
