Českárepublika,-5.6,1.1,5.9,6.9,13.8,18.2,18.5,18.8,11.8,9.5,3.7,0.8,8.6
PrahaaStředočeský,-5.0,1.8,6.7,7.7,14.5,18.8,19.2,19.2,12.4,10.4,4.5,1.7,9.3
Jihočeský,-5.9,1.1,5.5,6.4,13.4,18.2,18.2,18.2,11.2,9.3,3.2,0.3,8.3
Plzeňský,-5.7,1.3,5.6,6.6,13.5,18.2,18.3,18.3,11.0,9.6,3.3,0.6,8.4
Karlovarský,-5.8,0.6,4.8,5.6,12.6,16.7,16.9,16.7,10.1,8.8,2.8,-0.2,7.5
Ústecký,-4.7,1.5,6.3,7.2,14.1,18.0,18.6,18.1,12.0,10.2,4.1,1.4,8.9
Liberecký,-5.4,0.6,4.8,6.1,13.0,16.8,17.3,17.0,11.0,8.9,3.4,0.5,7.9
Královéhradecký,-5.7,0.9,5.5,6.8,13.9,17.6,18.0,18.4,11.7,9.1,3.7,0.6,8.4
Pardubický,-5.9,1.0,5.9,6.8,13.9,17.9,18.2,19.0,11.9,9.6,3.9,1.0,8.6
Vysočina,-6.2,0.6,5.6,6.3,13.6,18.0,18.3,18.8,11.4,9.2,3.2,0.2,8.3
Jihomoravský,-5.6,1.4,7.3,8.3,15.2,20.2,20.4,20.9,13.3,10.2,4.4,1.3,9.8
Olomoucký,-6.0,0.4,5.7,6.7,13.5,17.9,18.3,19.0,12.1,9.0,3.6,0.7,8.4
Zlínský,-6.3,0.9,6.1,7.1,13.8,18.4,19.0,19.6,12.7,9.1,3.9,0.7,8.8
Moravskoslezský,-5.5,0.5,5.4,6.4,13.0,17.6,17.9,18.7,12.0,9.2,3.7,0.9,8.3
