Českárepublika,0.1,2.6,2.7,9.2,13.4,16.9,17.1,17.1,12.4,8.1,0.1,-1.9,8.2
PrahaaStředočeský,0.8,3.5,3.9,10.0,14.4,17.5,17.5,17.6,12.9,8.8,0.9,-0.6,8.9
Jihočeský,-0.4,2.0,2.6,8.1,12.9,16.3,16.7,16.9,11.8,8.1,-0.1,-1.8,7.8
Plzeňský,0.0,2.5,3.2,8.3,13.2,16.5,16.4,16.7,11.9,7.9,0.2,-1.2,8.0
Karlovarský,-0.5,1.9,2.3,7.6,12.4,15.5,15.1,15.3,11.1,6.9,-0.5,-1.8,7.1
Ústecký,0.5,3.6,3.6,9.7,14.0,17.0,16.9,16.8,12.5,8.2,0.4,-0.9,8.5
Liberecký,0.0,2.4,2.1,9.0,12.9,16.1,16.1,15.5,12.0,7.5,-0.2,-1.7,7.6
Královéhradecký,0.1,2.3,2.3,9.3,13.5,16.8,16.9,16.6,12.6,7.8,0.1,-2.1,8.0
Pardubický,0.1,2.5,2.3,9.4,13.3,16.9,17.2,17.0,12.6,8.0,0.1,-2.3,8.1
Vysočina,-0.5,2.3,2.0,8.7,12.8,16.5,16.8,16.9,12.0,7.6,-0.3,-2.6,7.7
Jihomoravský,0.6,3.2,3.4,10.6,14.3,18.4,19.0,18.9,13.6,8.8,0.6,-2.3,9.1
Olomoucký,0.0,2.3,1.7,9.4,12.9,16.7,17.4,17.0,12.6,7.6,-0.5,-2.9,7.8
Zlínský,0.2,2.0,1.8,9.9,13.1,17.4,17.9,17.5,13.0,8.5,-0.3,-2.7,8.2
Moravskoslezský,0.2,2.7,1.4,9.5,12.9,16.7,17.3,16.7,12.6,7.7,-0.8,-2.7,7.8
