Českárepublika,-1.3,3.4,4.1,7.5,15.4,17.4,18.5,18.5,11.8,6.8,4.7,-2.8,8.7
PrahaaStředočeský,-0.3,4.3,4.7,8.3,16.0,18.1,18.9,19.3,12.6,7.6,4.7,-1.9,9.4
Jihočeský,-1.6,3.3,3.4,6.9,14.6,17.3,17.6,17.4,11.0,6.7,4.0,-1.9,8.2
Plzeňský,-1.2,3.3,3.7,6.9,14.2,17.2,17.3,17.6,11.0,6.9,3.8,-1.6,8.3
Karlovarský,-1.6,2.4,3.2,6.0,13.2,16.3,16.6,17.1,10.6,6.1,3.1,-2.8,7.5
Ústecký,-0.2,3.6,4.2,7.6,15.1,17.3,18.4,19.0,12.3,7.1,3.9,-2.7,8.8
Liberecký,-1.6,2.9,3.4,6.8,15.1,16.6,17.9,18.5,11.4,6.4,4.0,-3.0,8.2
Královéhradecký,-1.9,3.0,3.9,7.4,15.9,17.2,18.7,19.0,12.0,6.6,4.6,-3.3,8.7
Pardubický,-1.7,3.2,4.2,7.5,15.9,17.3,18.9,18.9,12.0,6.7,4.9,-3.4,8.7
Vysočina,-1.9,2.8,3.7,7.0,15.0,17.0,18.1,18.1,11.5,6.2,4.5,-3.2,8.3
Jihomoravský,-1.1,3.8,5.2,8.9,16.8,18.6,20.4,19.7,13.2,7.5,6.0,-2.9,9.7
Olomoucký,-1.9,2.9,4.1,7.5,15.8,17.1,19.1,18.7,11.9,6.5,5.2,-4.3,8.5
Zlínský,-2.1,3.3,4.7,8.1,16.3,17.6,19.6,18.7,11.9,6.9,6.2,-3.5,9.0
Moravskoslezský,-1.6,3.2,4.2,7.4,15.7,16.9,18.9,18.4,11.4,6.4,5.4,-4.6,8.5
